1,1,332
2,2,335
3,3,312
4,4,295
5,6,306
6,7,330
7,9,289
8,10,293
9,12,298
10,13,695
11,15,704
12,16,298
13,17,293
14,18,684
15,19,748
16,20,347
17,21,652
18,22,256
19,23,289
20,24,656
21,25,291
22,26,728
23,27,292
24,28,722
25,29,261
26,30,263
27,31,281
28,32,280
29,33,274
30,34,645
31,35,713
32,37,316
33,38,272
34,39,295
35,41,722
36,42,330
37,43,307
38,44,645
39,45,318
40,46,296
41,47,296
42,48,285
43,50,290
44,51,185
45,52,302
46,54,194
47,55,198
48,56,326
49,57,181
50,58,168
51,59,293
52,60,287
53,61,172
54,62,240
55,63,261
56,64,191
57,65,334
58,66,258
59,67,415
60,69,441
61,71,162
62,72,198
63,73,461
64,74,231
65,75,207
66,76,486
67,77,180
68,80,167
69,81,684
70,82,249
71,83,447
72,84,440
73,85,279
74,86,349
75,87,310
76,88,747
77,89,462
78,90,220
79,91,739
80,92,431
81,93,279
82,94,250
83,95,613
84,96,686
85,98,303
86,99,284
87,100,248
88,101,295
89,102,291
90,103,253
91,104,650
92,105,212
93,106,1486
94,107,200
95,108,247
96,109,245
97,110,235
98,111,227
99,112,282
100,113,307
101,114,244
102,115,307
103,116,493
104,117,683
105,118,199
106,119,497
107,120,318
108,121,337
109,122,284
110,123,483
111,124,233
112,125,276
113,126,739
114,127,1451
115,128,254
116,129,635
117,130,260
118,131,299
119,133,1234
120,134,244
121,135,284
122,136,244
123,137,1341
124,138,253
125,139,733
126,140,285
127,141,1467
128,142,295
129,143,260
130,144,1204
131,145,1498
132,147,493
133,148,323
134,149,302
135,150,585
136,151,565
137,153,502
138,154,744
139,155,342
140,156,575
141,157,682
142,158,484
